tipo,iter,tiempo_ms,gflops,gbps_estimado
iteracion,0,7.896064,543.937765,2176.016654
iteracion,1,9.868512,435.219335,1741.089849
iteracion,2,7.915968,542.570072,2170.545215
iteracion,3,9.985856,430.105068,1720.630283
iteracion,4,9.837536,436.589747,1746.572168
iteracion,5,7.934400,541.309646,2165.502894
iteracion,6,9.779040,439.201307,1757.019681
iteracion,7,7.935872,541.209240,2165.101222
iteracion,8,9.984192,430.176758,1720.917077
iteracion,9,9.820544,437.345140,1749.594107
iteracion,10,7.204896,596.117878,2384.762584
iteracion,11,8.909600,482.060606,1928.477804
iteracion,12,7.820416,549.199341,2197.065526
iteracion,13,7.810496,549.896879,2199.856022
iteracion,14,9.180256,467.848320,1871.621722
iteracion,15,7.366208,583.063532,2332.538826
iteracion,16,8.839456,485.885951,1943.781054
iteracion,17,7.191840,597.200048,2389.091794
iteracion,18,8.831328,486.333098,1945.569859
iteracion,19,7.207168,595.929946,2384.010764
iteracion,20,7.967072,539.089805,2156.622447
iteracion,21,8.796160,488.277546,1953.348602
iteracion,22,8.253536,520.379045,2081.770270
iteracion,23,8.553760,502.114568,2008.703446
iteracion,24,7.717088,556.552831,2226.483078
iteracion,25,9.049088,474.629877,1898.751260
iteracion,26,7.200640,596.470199,2386.172042
iteracion,27,8.797664,488.194076,1953.014680
iteracion,28,7.198304,596.663768,2386.946413
iteracion,29,7.966624,539.120136,2156.743786
iteracion,30,7.237152,593.460969,2374.133651
iteracion,31,7.383392,581.706535,2327.110178
iteracion,32,7.425312,578.422465,2313.972293
iteracion,33,7.203712,596.215854,2385.154538
iteracion,34,7.398816,580.493856,2322.258870
iteracion,35,7.205344,596.080795,2384.614233
iteracion,36,7.492416,573.241976,2293.247806
iteracion,37,7.423040,578.599515,2314.680581
iteracion,38,7.198272,596.666417,2386.957007
iteracion,39,7.501408,572.554811,2290.498811
iteracion,40,7.202816,596.290019,2385.451234
iteracion,41,7.571520,567.252993,2269.288950
iteracion,42,7.490720,573.371774,2293.767062
iteracion,43,7.212000,595.530693,2382.413559
iteracion,44,7.452960,576.276713,2305.388235
iteracion,45,7.198688,596.631953,2386.819135
iteracion,46,7.464896,575.355260,2301.701976
iteracion,47,7.274560,590.409222,2361.925174
iteracion,48,7.190752,597.290419,2389.453324
iteracion,49,7.477632,574.375320,2297.781735
iteracion,50,7.197312,596.746031,2387.275503
iteracion,51,7.202496,596.316508,2385.557203
iteracion,52,7.477184,574.409751,2297.919478
iteracion,53,7.196832,596.785806,2387.434625
iteracion,54,7.463008,575.500835,2302.284348
iteracion,55,7.203520,596.231759,2385.218166
iteracion,56,7.203360,596.244981,2385.271060
iteracion,57,7.476352,574.473643,2298.175078
iteracion,58,7.196096,596.846864,2387.678885
iteracion,59,7.424704,578.469829,2314.161772
iteracion,60,7.201984,596.358911,2385.726837
iteracion,61,7.463840,575.436678,2302.027685
iteracion,62,7.200160,596.509978,2386.331175
iteracion,63,7.459648,575.760039,2303.321287
promedio,,7.846742,552.953292,2212.083165
min,,7.190752,430.105068,1720.630283
max,,9.985856,597.290419,2389.453324
total,,1714.110500,,
