tipo,iter,tiempo_ms,gflops,gbps_estimado
iteracion,0,473.829376,580.120019,2320.515485
iteracion,1,473.752563,580.214078,2320.891727
iteracion,2,474.102142,579.786258,2319.180419
iteracion,3,473.758484,580.206828,2320.862723
iteracion,4,473.251343,580.828583,2323.349784
iteracion,5,472.438171,581.828319,2327.348787
iteracion,6,474.289337,579.557425,2318.265073
iteracion,7,473.730011,580.241700,2321.002215
iteracion,8,474.246368,579.609935,2318.475118
iteracion,9,476.076385,577.381940,2309.563000
iteracion,10,477.437225,575.736227,2302.980050
iteracion,11,473.699738,580.278782,2321.150547
iteracion,12,474.200684,579.665775,2318.698482
iteracion,13,473.028839,581.101794,2324.442643
iteracion,14,475.868500,577.634172,2310.571945
iteracion,15,474.148468,579.729611,2318.953828
iteracion,16,474.523499,579.271433,2317.121088
iteracion,17,474.288239,579.558767,2318.270443
iteracion,18,474.551514,579.237236,2316.984296
iteracion,19,474.230835,579.628921,2318.551060
iteracion,20,474.628052,579.143828,2316.610662
iteracion,21,474.203369,579.662493,2318.685350
iteracion,22,473.391022,580.657204,2322.664255
iteracion,23,475.067322,578.608324,2314.468612
iteracion,24,474.641907,579.126923,2316.543039
iteracion,25,474.476044,579.329369,2317.352835
iteracion,26,474.160339,579.715097,2318.895769
iteracion,27,473.888367,580.047805,2320.226624
iteracion,28,474.160126,579.715358,2318.896814
iteracion,29,474.543732,579.246734,2317.022292
iteracion,30,473.888306,580.047880,2320.226922
iteracion,31,473.553345,580.458168,2321.868100
iteracion,32,474.261230,579.591772,2318.402463
iteracion,33,474.691803,579.066049,2316.299540
iteracion,34,474.418915,579.399131,2317.631888
iteracion,35,474.984436,578.709293,2314.872492
iteracion,36,474.440430,579.372856,2317.526788
iteracion,37,474.600769,579.177121,2316.743833
iteracion,38,474.319305,579.520808,2318.118602
iteracion,39,473.526093,580.491574,2322.001728
iteracion,40,472.919281,581.236414,2324.981131
iteracion,41,474.653137,579.113221,2316.488229
iteracion,42,474.219971,579.642200,2318.604177
iteracion,43,474.556793,579.230791,2316.958519
iteracion,44,474.290070,579.556530,2318.261493
iteracion,45,474.648254,579.119178,2316.512059
iteracion,46,474.228424,579.631867,2318.562847
iteracion,47,474.621155,579.152244,2316.644325
iteracion,48,472.969513,581.174683,2324.734206
iteracion,49,474.675598,579.085818,2316.378616
iteracion,50,474.320038,579.519913,2318.115022
iteracion,51,474.679047,579.081611,2316.361788
iteracion,52,474.329895,579.507870,2318.066849
iteracion,53,474.650299,579.116683,2316.502080
iteracion,54,474.324951,579.513910,2318.091010
iteracion,55,474.316193,579.524611,2318.133815
iteracion,56,473.862854,580.079035,2320.351544
iteracion,57,473.781372,580.178798,2320.750603
iteracion,58,474.758087,578.985202,2315.976146
iteracion,59,474.292511,579.553547,2318.249560
iteracion,60,474.607910,579.168406,2316.708975
iteracion,61,474.195923,579.671595,2318.721760
iteracion,62,474.582397,579.199541,2316.833517
iteracion,63,474.337189,579.498959,2318.031205
iteracion,64,474.588135,579.192539,2316.805509
iteracion,65,472.940552,581.210272,2324.876564
iteracion,66,473.331085,580.730731,2322.958368
iteracion,67,474.230682,579.629107,2318.551806
iteracion,68,475.430878,578.165870,2312.698768
iteracion,69,474.153687,579.723231,2318.928306
iteracion,70,474.766541,578.974893,2315.934909
iteracion,71,474.220245,579.641864,2318.602834
iteracion,72,474.633209,579.137535,2316.585489
iteracion,73,474.748047,578.997447,2316.025126
iteracion,74,473.388153,580.660722,2322.678330
iteracion,75,474.586090,579.195035,2316.815490
iteracion,76,474.637146,579.132732,2316.566274
iteracion,77,474.232178,579.627279,2318.544495
iteracion,78,475.780212,577.741360,2311.000702
iteracion,79,474.279694,579.569209,2318.312211
iteracion,80,474.716644,579.035747,2316.178331
iteracion,81,474.286499,579.560893,2318.278946
iteracion,82,474.564972,579.220809,2316.918589
iteracion,83,472.934723,581.217436,2324.905218
iteracion,84,474.545532,579.244537,2317.013501
iteracion,85,474.401611,579.420264,2317.716422
iteracion,86,474.170410,579.702784,2318.846519
iteracion,87,474.608704,579.167438,2316.705102
iteracion,88,474.143097,579.736178,2318.980097
iteracion,89,474.657257,579.108194,2316.468122
iteracion,90,474.251648,579.603483,2318.449308
iteracion,91,473.235535,580.847985,2323.427394
iteracion,92,473.085419,581.032296,2324.164647
iteracion,93,474.599426,579.178759,2316.750388
iteracion,94,475.008392,578.680106,2314.755745
iteracion,95,474.731293,579.017881,2316.106863
iteracion,96,474.894989,578.818293,2315.308501
iteracion,97,474.665466,579.098179,2316.428059
iteracion,98,474.477051,579.328139,2317.347916
iteracion,99,474.723633,579.027223,2316.144234
iteracion,100,472.946259,581.203259,2324.848511
iteracion,101,474.622742,579.150308,2316.636580
iteracion,102,474.275085,579.574840,2318.334736
iteracion,103,474.642212,579.126551,2316.541549
iteracion,104,474.258179,579.595502,2318.417382
iteracion,105,474.560669,579.226061,2316.939597
iteracion,106,474.273407,579.576892,2318.342941
iteracion,107,475.014221,578.673005,2314.727341
iteracion,108,473.398407,580.648145,2322.628021
iteracion,109,473.347839,580.710176,2322.876146
iteracion,110,474.278503,579.570664,2318.318028
iteracion,111,474.656097,579.109609,2316.473782
iteracion,112,474.213226,579.650443,2318.637153
iteracion,113,474.569824,579.214887,2316.894899
iteracion,114,474.191589,579.676892,2318.742950
iteracion,115,474.273102,579.577264,2318.344432
iteracion,116,474.377441,579.449786,2317.834511
iteracion,117,472.975037,581.167896,2324.707056
iteracion,118,473.393677,580.653947,2322.651229
iteracion,119,474.294006,579.551720,2318.242251
iteracion,120,474.581848,579.200212,2316.836199
iteracion,121,474.444061,579.368422,2317.509048
iteracion,122,474.535431,579.256867,2317.062823
iteracion,123,474.243530,579.613404,2318.488993
iteracion,124,474.534393,579.258133,2317.067889
iteracion,125,474.245300,579.611241,2318.480340
iteracion,126,473.522186,580.496363,2322.020883
iteracion,127,474.233002,579.626272,2318.540466
iteracion,128,474.687286,579.071559,2316.321580
iteracion,129,474.201447,579.664843,2318.694751
iteracion,130,474.607910,579.168406,2316.708975
iteracion,131,474.215576,579.647571,2318.625664
