tipo,iter,tiempo_ms,gflops,gbps_estimado
iteracion,0,3719.085400,4.619380,18.478648
iteracion,1,3790.214200,4.532691,18.131870
iteracion,2,3695.752400,4.648544,18.595313
iteracion,3,3637.006600,4.723629,18.895668
iteracion,4,3613.070000,4.754923,19.020852
iteracion,5,3591.403100,4.783609,19.135605
iteracion,6,3394.586200,5.060961,20.245081
iteracion,7,3394.703000,5.060787,20.244384
iteracion,8,3378.249900,5.085435,20.342980
iteracion,9,3376.475900,5.088107,20.353668
iteracion,10,3377.585100,5.086436,20.346984
iteracion,11,3370.370400,5.097324,20.390540
iteracion,12,3378.169800,5.085555,20.343463
iteracion,13,3377.555300,5.086481,20.347164
iteracion,14,3363.879100,5.107160,20.429887
iteracion,15,3383.555900,5.077460,20.311079
iteracion,16,3389.003200,5.069299,20.278432
iteracion,17,3371.511100,5.095599,20.383641
iteracion,18,3367.335700,5.101918,20.408916
iteracion,19,3370.486800,5.097148,20.389835
iteracion,20,3353.831300,5.122461,20.491094
iteracion,21,3366.520500,5.103153,20.413858
iteracion,22,3377.561700,5.086471,20.347125
iteracion,23,3373.328200,5.092854,20.372661
iteracion,24,3370.126500,5.097693,20.392015
iteracion,25,3371.138700,5.096162,20.385892
iteracion,26,3376.308800,5.088358,20.354676
iteracion,27,3369.317600,5.098917,20.396911
iteracion,28,3352.496400,5.124500,20.499253
iteracion,29,3361.386800,5.110947,20.445035
iteracion,30,3355.371400,5.120110,20.481688
iteracion,31,3358.657700,5.115100,20.461648
iteracion,32,3369.704200,5.098332,20.394571
iteracion,33,3364.124600,5.106787,20.428396
iteracion,34,3362.892100,5.108659,20.435883
iteracion,35,3374.067600,5.091738,20.368196
iteracion,36,3372.263800,5.094462,20.379091
iteracion,37,3393.063300,5.063233,20.254167
iteracion,38,3373.999200,5.091842,20.368609
iteracion,39,3368.621300,5.099970,20.401127
iteracion,40,3365.714200,5.104376,20.418748
iteracion,41,3366.513600,5.103163,20.413900
iteracion,42,3368.532600,5.100105,20.401664
iteracion,43,3374.902200,5.090479,20.363159
iteracion,44,3374.647800,5.090863,20.364694
iteracion,45,3372.191900,5.094570,20.379526
iteracion,46,3364.418800,5.106341,20.426610
iteracion,47,3367.935300,5.101009,20.405282
iteracion,48,3370.025100,5.097846,20.392629
iteracion,49,3372.993600,5.093360,20.374682
iteracion,50,3364.924900,5.105573,20.423538
iteracion,51,3385.968800,5.073842,20.296605
iteracion,52,3367.732200,5.101317,20.406513
iteracion,53,3369.302200,5.098940,20.397004
iteracion,54,3366.837700,5.102672,20.411935
iteracion,55,3362.311200,5.109542,20.439414
iteracion,56,3373.620000,5.092414,20.370899
iteracion,57,3358.500200,5.115340,20.462607
iteracion,58,3360.088100,5.112922,20.452937
iteracion,59,3368.707500,5.099840,20.400605
iteracion,60,3373.342900,5.092832,20.372572
iteracion,61,3365.233600,5.105104,20.421664
iteracion,62,3368.721200,5.099819,20.400522
iteracion,63,3366.387000,5.103355,20.414667
iteracion,64,3369.392700,5.098803,20.396456
iteracion,65,3364.464900,5.106271,20.426330
iteracion,66,3363.583000,5.107610,20.431686
iteracion,67,3370.541000,5.097066,20.389508
iteracion,68,3363.363600,5.107943,20.433019
iteracion,69,3363.062700,5.108400,20.434847
iteracion,70,3373.453500,5.092665,20.371904
iteracion,71,3366.526600,5.103144,20.413821
iteracion,72,3361.704700,5.110464,20.443102
iteracion,73,3371.481500,5.095644,20.383820
iteracion,74,3384.036000,5.076739,20.308197
iteracion,75,3517.837400,4.883645,19.535772
iteracion,76,3482.424800,4.933307,19.734431
iteracion,77,3525.004100,4.873716,19.496054
iteracion,78,3741.271900,4.591986,18.369066
iteracion,79,3436.338400,4.999470,19.999099
iteracion,80,3375.003600,5.090326,20.362547
iteracion,81,3362.081500,5.109891,20.440811
iteracion,82,3358.119600,5.115919,20.464927
iteracion,83,3377.852200,5.086033,20.345375
iteracion,84,3374.628800,5.090892,20.364809
iteracion,85,3375.120400,5.090150,20.361843
iteracion,86,3373.154300,5.093117,20.373711
iteracion,87,3368.569900,5.100048,20.401438
