tipo,iter,tiempo_ms,gflops,gbps_estimado
iteracion,0,79540.088600,3.455841,13.823575
iteracion,1,79362.324500,3.463582,13.854539
iteracion,2,77837.735800,3.531422,14.125904
iteracion,3,84126.999300,3.267416,13.069864
iteracion,4,83717.365200,3.283404,13.133815
iteracion,5,79167.532300,3.472104,13.888628
iteracion,6,77600.852000,3.542202,14.169025
iteracion,7,78278.903400,3.511520,14.046293
iteracion,8,77565.711100,3.543807,14.175444
iteracion,9,78316.649200,3.509827,14.039523
iteracion,10,77486.738000,3.547419,14.189892
iteracion,11,78205.873900,3.514799,14.059409
iteracion,12,77226.012600,3.559395,14.237798
iteracion,13,78172.368000,3.516305,14.065436
iteracion,14,76974.174500,3.571041,14.284381
iteracion,15,78720.102200,3.491839,13.967568
iteracion,16,77751.940300,3.535319,14.141492
iteracion,17,78330.111100,3.509224,14.037110
iteracion,18,79099.886300,3.475073,13.900506
iteracion,19,79770.956000,3.445839,13.783568
iteracion,20,77719.506400,3.536794,14.147393
iteracion,21,78847.583900,3.486193,13.944985
iteracion,22,77521.169500,3.545843,14.183589
iteracion,23,78311.379200,3.510063,14.040468
iteracion,24,77567.815400,3.543711,14.175060
iteracion,25,78246.210100,3.512987,14.052162
iteracion,26,77557.814500,3.544168,14.176887
iteracion,27,78778.432600,3.489253,13.957226
iteracion,28,77610.011400,3.541784,14.167353
iteracion,29,78387.169800,3.506670,14.026893
iteracion,30,80303.282400,3.422997,13.692198
iteracion,31,78657.400400,3.494622,13.978703
iteracion,32,77695.829800,3.537872,14.151704
iteracion,33,78267.909100,3.512013,14.048266
iteracion,34,77667.567400,3.539159,14.156854
iteracion,35,78514.381200,3.500988,14.004166
iteracion,36,77513.375100,3.546200,14.185015
iteracion,37,78258.673700,3.512427,14.049924
iteracion,38,77965.662300,3.525628,14.102726
iteracion,39,78888.275900,3.484395,13.937792
iteracion,40,77636.728800,3.540565,14.162477
iteracion,41,79522.675500,3.456598,13.826602
iteracion,42,79502.209700,3.457488,13.830162
iteracion,43,78759.497800,3.490092,13.960582
iteracion,44,77730.494500,3.536294,14.145393
iteracion,45,78301.799100,3.510493,14.042186
iteracion,46,77553.943500,3.544345,14.177595
iteracion,47,80624.042700,3.409379,13.637724
iteracion,48,77622.145200,3.541230,14.165138
iteracion,49,78592.871700,3.497492,13.990180
iteracion,50,77926.733400,3.527389,14.109772
iteracion,51,78509.741600,3.501195,14.004993
iteracion,52,77549.595400,3.544543,14.178390
iteracion,53,79288.591700,3.466803,13.867423
iteracion,54,77612.587200,3.541667,14.166883
iteracion,55,78295.677500,3.510767,14.043284
iteracion,56,79872.926200,3.441440,13.765971
iteracion,57,78523.874800,3.500565,14.002473
iteracion,58,77969.373800,3.525460,14.102055
iteracion,59,78367.105300,3.507567,14.030484
iteracion,60,77428.946900,3.550066,14.200482
iteracion,61,78427.426200,3.504870,14.019693
iteracion,62,77574.144300,3.543422,14.173903
iteracion,63,78306.098600,3.510300,14.041415
iteracion,64,77576.560800,3.543311,14.173462
iteracion,65,78351.517200,3.508265,14.033275
iteracion,66,77141.535600,3.563293,14.253390
iteracion,67,77862.683400,3.530291,14.121378
iteracion,68,76988.823300,3.570361,14.281663
iteracion,69,77959.038300,3.525927,14.103925
iteracion,70,77003.728000,3.569670,14.278898
iteracion,71,79338.325200,3.464630,13.858730
iteracion,72,77708.567900,3.537292,14.149384
iteracion,73,78780.534900,3.489160,13.956854
iteracion,74,77570.868200,3.543571,14.174502
iteracion,75,78382.762900,3.506867,14.027681
iteracion,76,77766.825800,3.534642,14.138785
iteracion,77,78763.465600,3.489916,13.959878
iteracion,78,80119.512000,3.430848,13.723603
iteracion,79,78469.891200,3.502973,14.012106
iteracion,80,77810.134100,3.532675,14.130915
iteracion,81,78676.483300,3.493775,13.975312
iteracion,82,77840.532700,3.531295,14.125397
iteracion,83,78329.583700,3.509248,14.037205
iteracion,84,77770.518600,3.534474,14.138113
iteracion,85,78780.122200,3.489178,13.956927
iteracion,86,77538.759500,3.545039,14.180371
iteracion,87,77912.790100,3.528020,14.112297
iteracion,88,77948.910300,3.526385,14.105757
iteracion,89,78511.700900,3.501108,14.004644
iteracion,90,77859.502700,3.530435,14.121955
iteracion,91,78479.483800,3.502545,14.010393
iteracion,92,79989.159800,3.436439,13.745968
iteracion,93,78696.714800,3.492877,13.971719
iteracion,94,77726.598900,3.536472,14.146102
iteracion,95,78755.071600,3.490288,13.961366
iteracion,96,77610.354500,3.541768,14.167290
iteracion,97,78285.880500,3.511207,14.045041
iteracion,98,77424.358300,3.550277,14.201324
iteracion,99,78207.065500,3.514745,14.059195
iteracion,100,79056.635400,3.476975,13.908110
iteracion,101,78503.366600,3.501479,14.006131
iteracion,102,77771.953300,3.534409,14.137853
iteracion,103,80849.102700,3.399888,13.599760
iteracion,104,77802.307900,3.533030,14.132337
iteracion,105,78446.113800,3.504035,14.016353
iteracion,106,77720.819300,3.536735,14.147154
iteracion,107,79185.861500,3.471300,13.885413
iteracion,108,80030.671100,3.434657,13.738838
iteracion,109,78530.063800,3.500289,14.001369
iteracion,110,77556.952500,3.544207,14.177045
iteracion,111,78408.479800,3.505717,14.023080
iteracion,112,77656.193400,3.539678,14.158927
iteracion,113,78487.185500,3.502201,14.009018
iteracion,114,77649.559500,3.539980,14.160137
iteracion,115,78366.088500,3.507613,14.030666
iteracion,116,77681.087200,3.538544,14.154390
iteracion,117,77796.915700,3.533275,14.133316
iteracion,118,77116.570400,3.564447,14.258004
iteracion,119,77885.465900,3.529258,14.117248
iteracion,120,77018.105800,3.569004,14.276233
