tipo,iter,tiempo_ms,gflops,gbps_estimado
iteracion,120,15541.259500,4.421744,17.687517
iteracion,121,15162.465300,4.532210,18.129393
iteracion,122,15552.669700,4.418500,17.674541
iteracion,123,15198.465200,4.521475,18.086451
iteracion,124,15568.643600,4.413967,17.656406
iteracion,125,15292.710200,4.493610,17.974989
iteracion,126,15596.046400,4.406211,17.625383
iteracion,127,15201.554100,4.520556,18.082776
iteracion,128,15818.518800,4.344242,17.377499
iteracion,129,16880.458400,4.070948,16.284291
iteracion,130,18338.765200,3.747225,14.989357
iteracion,131,16071.328200,4.275905,17.104143
iteracion,132,15793.381500,4.351157,17.405158
iteracion,133,15308.689700,4.488920,17.956226
iteracion,134,15733.919600,4.367601,17.470936
iteracion,135,16267.791700,4.224266,16.897579
iteracion,136,15734.731700,4.367375,17.470034
iteracion,137,15417.644800,4.457197,17.829331
iteracion,138,15790.996600,4.351814,17.407786
iteracion,139,15458.728900,4.445351,17.781947
iteracion,140,15717.743700,4.372096,17.488916
iteracion,141,15391.286500,4.464830,17.859865
iteracion,142,15724.777600,4.370140,17.481093
iteracion,143,15953.965200,4.307360,17.229967
iteracion,144,17480.455600,3.931218,15.725351
iteracion,145,17251.174400,3.983467,15.934353
iteracion,146,17515.337000,3.923389,15.694034
iteracion,147,18165.267100,3.783015,15.132522
iteracion,148,23947.226800,2.869621,11.478836
iteracion,149,21015.537000,3.269937,13.080146
iteracion,150,18887.976800,3.638266,14.553507
iteracion,151,18081.072500,3.800631,15.202986
iteracion,152,16869.419000,4.073613,16.294947
iteracion,153,15452.131700,4.447249,17.789539
iteracion,154,15792.029700,4.351529,17.406648
iteracion,155,15381.104100,4.467786,17.871688
iteracion,156,15799.179600,4.349560,17.398770
iteracion,157,15382.966800,4.467245,17.869524
iteracion,158,15759.037600,4.360639,17.443089
iteracion,159,15519.105600,4.428057,17.712767
iteracion,160,16747.700700,4.103219,16.413375
iteracion,161,16593.113200,4.141446,16.566288
iteracion,162,16871.302800,4.073158,16.293128
iteracion,163,16013.551600,4.291333,17.165854
iteracion,164,15796.666600,4.350252,17.401538
iteracion,165,15399.263000,4.462517,17.850614
iteracion,166,15757.485000,4.361069,17.444808
iteracion,167,15376.970900,4.468987,17.876492
iteracion,168,15719.668000,4.371560,17.486775
iteracion,169,15383.244600,4.467164,17.869201
iteracion,170,15720.815900,4.371241,17.485498
iteracion,171,15415.076400,4.457939,17.832302
iteracion,172,15746.573300,4.364091,17.456896
iteracion,173,15386.124100,4.466328,17.865857
iteracion,174,15713.177500,4.373366,17.493998
iteracion,175,15553.802100,4.418179,17.673254
iteracion,176,15723.230300,4.370570,17.482813
iteracion,177,15396.890500,4.463205,17.853364
iteracion,178,17997.829100,3.818209,15.273303
iteracion,179,16314.816500,4.212090,16.848874
iteracion,180,15748.950300,4.363432,17.454261
iteracion,181,15367.329200,4.471791,17.887708
iteracion,182,15737.330300,4.366654,17.467149
iteracion,183,15349.867000,4.476878,17.908057
iteracion,184,15735.966400,4.367033,17.468663
iteracion,185,15396.841600,4.463219,17.853421
iteracion,186,15728.483200,4.369110,17.476974
iteracion,187,15352.527000,4.476102,17.904954
iteracion,188,15757.133400,4.361166,17.445197
iteracion,189,15440.509600,4.450596,17.802929
iteracion,190,16495.294500,4.166005,16.664528
iteracion,191,15394.046100,4.464030,17.856663
iteracion,192,15822.514100,4.343145,17.373111
iteracion,193,15428.783300,4.453979,17.816460
iteracion,194,16000.029000,4.294960,17.180362
iteracion,195,15383.852500,4.466987,17.868495
iteracion,196,15806.155900,4.347640,17.391091
iteracion,197,15391.041000,4.464901,17.860150
iteracion,198,15747.018000,4.363968,17.456403
iteracion,199,15389.418400,4.465372,17.862033
iteracion,200,15694.847900,4.378474,17.514429
iteracion,201,15369.339600,4.471206,17.885368
iteracion,202,15730.863900,4.368449,17.474329
iteracion,203,15372.454200,4.470300,17.881744
iteracion,204,15746.059300,4.364233,17.457466
iteracion,205,15352.203100,4.476196,17.905332
iteracion,206,15695.685100,4.378240,17.513495
iteracion,207,15378.269200,4.468609,17.874983
iteracion,208,15900.752000,4.321775,17.287629
iteracion,209,15361.677000,4.473436,17.894290
iteracion,210,15718.245100,4.371956,17.488358
iteracion,211,15386.651100,4.466175,17.865245
iteracion,212,15725.949800,4.369814,17.479790
iteracion,213,15411.532900,4.458964,17.836402
iteracion,214,15734.848800,4.367343,17.469904
iteracion,215,15363.840100,4.472806,17.891770
iteracion,216,15706.792600,4.375144,17.501109
iteracion,217,15394.736200,4.463829,17.855863
iteracion,218,15720.009900,4.371465,17.486395
iteracion,219,15366.086400,4.472152,17.889155
iteracion,220,16008.893700,4.292581,17.170849
iteracion,221,15385.047300,4.466641,17.867108
iteracion,222,15831.117900,4.340785,17.363669
iteracion,223,15761.882200,4.359852,17.439941
iteracion,224,15590.936500,4.407655,17.631160
iteracion,225,15168.747400,4.530333,18.121885
iteracion,226,15565.208900,4.414941,17.660302
iteracion,227,15195.092700,4.522478,18.090465
iteracion,228,15566.551600,4.414560,17.658779
iteracion,229,15175.802000,4.528227,18.113461
iteracion,230,15562.254900,4.415779,17.663655
iteracion,231,15186.317000,4.525092,18.100919
iteracion,232,15607.046700,4.403106,17.612960
iteracion,233,15184.355800,4.525676,18.103257
iteracion,234,15561.683900,4.415941,17.664303
iteracion,235,15191.067400,4.523677,18.095259
iteracion,236,15599.316200,4.405288,17.621689
iteracion,237,15173.151500,4.529018,18.116625
iteracion,238,15600.062700,4.405077,17.620846
iteracion,239,16668.981600,4.122596,16.490887
iteracion,240,15719.189900,4.371693,17.487307
iteracion,241,15184.914500,4.525510,18.102591
iteracion,242,15584.098200,4.409590,17.638897
iteracion,243,15193.569400,4.522932,18.092279
iteracion,244,15576.750500,4.411670,17.647217
iteracion,245,15189.929400,4.524016,18.096614
iteracion,246,15581.067900,4.410447,17.642327
iteracion,247,15221.496900,4.514633,18.059084
iteracion,248,15614.279400,4.401066,17.604802
iteracion,249,15187.285100,4.524803,18.099765
iteracion,250,15595.180900,4.406456,17.626361
iteracion,251,15207.582200,4.518764,18.075608
iteracion,252,15610.711000,4.402072,17.608826
iteracion,253,15196.930200,4.521931,18.088278
iteracion,254,15615.265100,4.400788,17.603691
iteracion,255,15192.309900,4.523307,18.093779
promedio,,15889.961337,4.339171,17.357213
min,,15029.474800,2.869621,11.478836
max,,23947.226800,4.572314,18.289814
total,,4070842.710400,,
